Time,Initial_ratio_Triple,Treatment,Replicate,Ratio_startcycle,Triple,G238S,Ratio,CTX,Unique_code
48,0.5,0.93,6,0.5,2.12E+07,3.27E+08,0.060994539,12.5,0.5_12.5_T48_Repl6
48,0.5,0.93,7,0.5,3.06E+07,3.13E+08,0.089130814,12.5,0.5_12.5_T48_Repl7
48,0.5,0.93,8,0.5,2.78E+07,3.12E+08,0.081686662,12.5,0.5_12.5_T48_Repl8
48,0.5,2,1,0.5,3.83E+07,2.84E+08,0.118815569,12.5,0.5_12.5_T48_Repl1
48,0.5,2,2,0.5,3.43E+07,2.89E+08,0.105942674,12.5,0.5_12.5_T48_Repl2
48,0.5,2,3,0.5,4.07E+07,2.80E+08,0.126919715,12.5,0.5_12.5_T48_Repl3
48,0.5,2,4,0.5,4.79E+07,2.73E+08,0.149497723,12.5,0.5_12.5_T48_Repl4
48,0.5,2,5,0.5,4.97E+07,2.72E+08,0.154641101,12.5,0.5_12.5_T48_Repl5
48,0.5,2,6,0.5,2.30E+07,1.42E+08,0.139492644,12.5,0.5_12.5_T48_Repl6
48,0.5,2,7,0.5,4.18E+07,2.85E+08,0.127878491,12.5,0.5_12.5_T48_Repl7
48,0.5,2,8,0.5,4.45E+07,2.71E+08,0.141000444,12.5,0.5_12.5_T48_Repl8
48,0.9,0.2,1,0.9,8.47E+07,2.37E+08,0.263007575,12.5,0.9_12.5_T48_Repl1
48,0.9,0.2,2,0.9,1.24E+08,1.91E+08,0.393379082,12.5,0.9_12.5_T48_Repl2
48,0.9,0.2,3,0.9,8.61E+07,2.36E+08,0.267150928,12.5,0.9_12.5_T48_Repl3
48,0.9,0.2,4,0.9,1.56E+08,1.53E+08,0.504711501,12.5,0.9_12.5_T48_Repl4
48,0.9,0.2,5,0.9,8.47E+07,2.40E+08,0.260457677,12.5,0.9_12.5_T48_Repl5
48,0.9,0.2,6,0.9,1.60E+08,1.53E+08,0.511650237,12.5,0.9_12.5_T48_Repl6
48,0.9,0.2,7,0.9,1.02E+08,2.18E+08,0.318707419,12.5,0.9_12.5_T48_Repl7
48,0.9,0.2,8,0.9,1.22E+08,1.85E+08,0.397697711,12.5,0.9_12.5_T48_Repl8
48,0.9,0.43,1,0.9,1.20E+08,1.92E+08,0.383791755,12.5,0.9_12.5_T48_Repl1
48,0.9,0.43,2,0.9,1.31E+08,1.85E+08,0.414927261,12.5,0.9_12.5_T48_Repl2
48,0.9,0.43,3,0.9,1.09E+08,2.10E+08,0.340830775,12.5,0.9_12.5_T48_Repl3
48,0.9,0.43,4,0.9,1.01E+08,2.20E+08,0.313838088,12.5,0.9_12.5_T48_Repl4
48,0.9,0.43,5,0.9,1.28E+08,1.86E+08,0.40702045,12.5,0.9_12.5_T48_Repl5
48,0.9,0.43,6,0.9,1.04E+08,2.27E+08,0.314259819,12.5,0.9_12.5_T48_Repl6
48,0.9,0.43,7,0.9,1.30E+08,1.87E+08,0.410170773,12.5,0.9_12.5_T48_Repl7
48,0.9,0.43,8,0.9,9.55E+07,2.23E+08,0.30028293,12.5,0.9_12.5_T48_Repl8
48,0.9,0.93,1,0.9,1.72E+08,1.35E+08,0.56026611,12.5,0.9_12.5_T48_Repl1
48,0.9,0.93,2,0.9,1.87E+08,1.28E+08,0.594489938,12.5,0.9_12.5_T48_Repl2
48,0.9,0.93,3,0.9,1.48E+08,1.65E+08,0.471689673,12.5,0.9_12.5_T48_Repl3
48,0.9,0.93,4,0.9,1.60E+08,1.52E+08,0.513195916,12.5,0.9_12.5_T48_Repl4
48,0.9,0.93,5,0.9,1.89E+08,1.28E+08,0.595217062,12.5,0.9_12.5_T48_Repl5
48,0.9,0.93,6,0.9,2.06E+08,1.23E+08,0.625798212,12.5,0.9_12.5_T48_Repl6
48,0.9,0.93,7,0.9,1.44E+08,1.71E+08,0.456830184,12.5,0.9_12.5_T48_Repl7
48,0.9,0.93,8,0.9,1.95E+08,1.19E+08,0.621402591,12.5,0.9_12.5_T48_Repl8
48,0.9,2,1,0.9,1.98E+08,1.08E+08,0.646178968,12.5,0.9_12.5_T48_Repl1
48,0.9,2,2,0.9,2.04E+08,1.06E+08,0.657011998,12.5,0.9_12.5_T48_Repl2
48,0.9,2,3,0.9,1.97E+08,1.12E+08,0.63771022,12.5,0.9_12.5_T48_Repl3
48,0.9,2,4,0.9,1.57E+08,1.53E+08,0.506978547,12.5,0.9_12.5_T48_Repl4
48,0.9,2,5,0.9,2.18E+08,9.76E+07,0.690374976,12.5,0.9_12.5_T48_Repl5
48,0.9,2,6,0.9,2.27E+08,9.76E+07,0.69919852,12.5,0.9_12.5_T48_Repl6
48,0.9,2,7,0.9,2.01E+08,1.11E+08,0.643044956,12.5,0.9_12.5_T48_Repl7
48,0.9,2,8,0.9,2.00E+08,1.08E+08,0.649487213,12.5,0.9_12.5_T48_Repl8
96,0.1,0.2,1,0.903561231,,,,12.5,0.1_12.5_T96_Repl1
96,0.1,0.2,2,0.769415846,,,,12.5,0.1_12.5_T96_Repl2
96,0.1,0.2,3,0.701219512,,,,12.5,0.1_12.5_T96_Repl3
96,0.1,0.2,4,0.809913245,,,,12.5,0.1_12.5_T96_Repl4
96,0.1,0.2,5,0.912299408,,,,12.5,0.1_12.5_T96_Repl5
96,0.1,0.2,6,0.840962115,,,,12.5,0.1_12.5_T96_Repl6
96,0.1,0.2,7,0.906737968,,,,12.5,0.1_12.5_T96_Repl7
96,0.1,0.2,8,0.943827424,,,,12.5,0.1_12.5_T96_Repl8
96,0.1,0.43,1,0.041784462,,,,12.5,0.1_12.5_T96_Repl1
96,0.1,0.43,2,0.0411534,,,,12.5,0.1_12.5_T96_Repl2
96,0.1,0.43,3,0.010086378,,,,12.5,0.1_12.5_T96_Repl3
96,0.1,0.43,4,0.176967323,,,,12.5,0.1_12.5_T96_Repl4
96,0.1,0.43,5,0.999540347,,,,12.5,0.1_12.5_T96_Repl5
96,0.1,0.43,6,0.035470441,,,,12.5,0.1_12.5_T96_Repl6
96,0.1,0.43,7,0.031388642,,,,12.5,0.1_12.5_T96_Repl7
96,0.1,0.43,8,0.034886951,,,,12.5,0.1_12.5_T96_Repl8
96,0.1,0.93,1,0.008233615,,,,12.5,0.1_12.5_T96_Repl1
96,0.1,0.93,2,0.007922535,,,,12.5,0.1_12.5_T96_Repl2
96,0.1,0.93,3,0.005810766,,,,12.5,0.1_12.5_T96_Repl3
96,0.1,0.93,4,0.00834162,,,,12.5,0.1_12.5_T96_Repl4
96,0.1,0.93,5,0.008176032,,,,12.5,0.1_12.5_T96_Repl5
96,0.1,0.93,6,0.008855398,,,,12.5,0.1_12.5_T96_Repl6
96,0.1,0.93,7,0.013177482,,,,12.5,0.1_12.5_T96_Repl7
96,0.1,0.93,8,0.007451565,,,,12.5,0.1_12.5_T96_Repl8
96,0.1,2,1,0.011319665,,,,12.5,0.1_12.5_T96_Repl1
96,0.1,2,2,0.010465183,,,,12.5,0.1_12.5_T96_Repl2
96,0.1,2,3,0.013163212,,,,12.5,0.1_12.5_T96_Repl3
96,0.1,2,4,0.013953488,,,,12.5,0.1_12.5_T96_Repl4
96,0.1,2,5,0.009797181,,,,12.5,0.1_12.5_T96_Repl5
96,0.1,2,6,0.009791011,,,,12.5,0.1_12.5_T96_Repl6
96,0.1,2,7,0.009541118,,,,12.5,0.1_12.5_T96_Repl7
96,0.1,2,8,0.013740546,,,,12.5,0.1_12.5_T96_Repl8
96,0.5,0.2,1,0.091234547,,,,12.5,0.5_12.5_T96_Repl1
96,0.5,0.2,2,0.057079028,,,,12.5,0.5_12.5_T96_Repl2
96,0.5,0.2,3,0.025151778,,,,12.5,0.5_12.5_T96_Repl3
96,0.5,0.2,4,0.049068254,,,,12.5,0.5_12.5_T96_Repl4
96,0.5,0.2,5,0.053209179,,,,12.5,0.5_12.5_T96_Repl5
96,0.5,0.2,6,0.055607451,,,,12.5,0.5_12.5_T96_Repl6
96,0.5,0.2,7,0.043646837,,,,12.5,0.5_12.5_T96_Repl7
96,0.5,0.2,8,0.041760785,,,,12.5,0.5_12.5_T96_Repl8
96,0.5,0.43,1,0.059110812,,,,12.5,0.5_12.5_T96_Repl1
96,0.5,0.43,2,0.045590516,,,,12.5,0.5_12.5_T96_Repl2
96,0.5,0.43,3,0.051520036,,,,12.5,0.5_12.5_T96_Repl3
96,0.5,0.43,4,0.06006006,,,,12.5,0.5_12.5_T96_Repl4
96,0.5,0.43,5,0.07080973,,,,12.5,0.5_12.5_T96_Repl5
96,0.5,0.43,6,0.058595481,,,,12.5,0.5_12.5_T96_Repl6
96,0.5,0.43,7,0.046463861,,,,12.5,0.5_12.5_T96_Repl7
96,0.5,0.43,8,0.046012445,,,,12.5,0.5_12.5_T96_Repl8
96,0.5,0.93,1,0.075494905,,,,12.5,0.5_12.5_T96_Repl1
96,0.5,0.93,2,0.088449653,,,,12.5,0.5_12.5_T96_Repl2
96,0.5,0.93,3,0.065596252,,,,12.5,0.5_12.5_T96_Repl3
96,0.5,0.93,4,0.070505828,,,,12.5,0.5_12.5_T96_Repl4
96,0.5,0.93,5,0.070706487,,,,12.5,0.5_12.5_T96_Repl5
96,0.5,0.93,6,0.060994539,,,,12.5,0.5_12.5_T96_Repl6
96,0.5,0.93,7,0.089130814,,,,12.5,0.5_12.5_T96_Repl7
96,0.5,0.93,8,0.081686662,,,,12.5,0.5_12.5_T96_Repl8
